canal,nature,moyenne,min,max,bruit,derive,bruit_sur_derive,bruit_sur_moyenne_pct,changements_24h,saut_median,saut_median_sur_etendue_pct
B:ACMNIG,lecture,0.7535008800000014,0.75350088,0.75350088,0.0,1.3322681436564756e-15,0.0,0.0,0,,
B:ACMNPG,lecture,9.974824603502743,5.50000572,13.50000572,0.004040712739188952,0.4828161272534521,0.008369050889362274,0.04050911068421215,25,0.5,6.25
B:ACMXIG,lecture,0.30000000999999976,0.30000001,0.30000001,0.0,2.220446906094126e-16,0.0,0.0,0,,
B:ACMXPG,lecture,3.0,3.0,3.0,0.0,0.0,,0.0,0,,
B:DCIG,lecture,0.0,0.0,0.0,0.0,0.0,,,0,,
B:DCPG,lecture,0.0,0.0,0.0,0.0,0.0,,,0,,
B:GMPS4V,lecture,105.80213079502516,-5.24063024,840.08521509,56.84455896514026,28.581980505785523,1.9888250554797582,53.72723454432838,1075657,26.000026,3.0757400999433604
B:GMPSBT,lecture,0.00030000000000000106,0.0003,0.0003,0.0,1.0842025908662724e-18,0.0,0.0,0,,
B:GMPSFF,lecture,3.204200000000011,3.2042,3.2042,0.0,1.0658145149251805e-14,0.0,0.0,0,,
B:IMAXXG,lecture,-117.88400268999986,-117.88400269,-117.88400269,0.0,1.4210860199002405e-13,0.0,0.0,0,,
B:IMAXXO,lecture,10.0,10.0,10.0,0.0,0.0,,0.0,0,,
B:IMINER,lecture,0.0015508717497624853,-9.7053125,9.7046875,0.22458407120540017,0.04055620292172561,5.537601033283429,14481.150439408999,1208515,0.07999999999999999,0.4121586810922205
B:IMINST,lecture,0.0,0.0,0.0,0.0,0.0,,,0,,
B:IMINXG,lecture,-11.824999810000007,-11.82499981,-11.82499981,0.0,7.105430099501203e-15,0.0,0.0,0,,
B:IMINXO,lecture,0.0,0.0,0.0,0.0,0.0,,,0,,
B:IPHSTC,lecture,20.0,20.0,20.0,0.0,0.0,,0.0,0,,
B:LINFRQ,lecture,-8.985809004971273,-60.65021973,41.73726196,0.12887080179559932,15.902655673047683,0.008103728361170114,1.4341591472098212,1264683,0.05911255000000004,0.05773415755939376
B:NGMPS,lecture,4.0,4.0,4.0,0.0,0.0,,0.0,0,,
B:VIMAX,lecture,966.1020500251494,961.85803223,967.50286865,0.0280387040735291,0.012631004261696496,2.219831732505739,0.00290225075837477,1242733,0.022949220000100468,0.40655243646725087
B:VIMIN,lecture,103.41546736635546,100.8059845,106.08130646,0.026791859494623715,0.018492775359261877,1.4487743983330952,0.025907013889626348,1289888,0.0078125,0.1480952264001722
B:VINHBT,lecture,0.962656082018163,0.0,1.0,0.0013859530354764329,0.188991652908436,0.007333408720161356,0.14397177365470418,2,1.0,100.0
B:VIPHAS,lecture,1.8099877276775793,1.76746678,1.85655951,0.000645962714217255,0.006535946285713616,0.09883231684893302,0.03568878972710488,1289164,0.00041043999999978986,0.4606885432737206
B_ACMNIG,consigne,0.7535008800000014,0.75350088,0.75350088,0.0,1.3322681436564756e-15,0.0,0.0,0,,
B_ACMNPG,consigne,9.974819586959727,5.50000572,13.50000572,0.004040712739188953,0.4827422576285761,0.008370331528543943,0.04050913105708152,25,0.5,6.25
B_ACMXIG,consigne,0.30000000999999976,0.30000001,0.30000001,0.0,2.220446906094126e-16,0.0,0.0,0,,
B_ACMXPG,consigne,3.0,3.0,3.0,0.0,0.0,,0.0,0,,
B_DCIG,consigne,0.0,0.0,0.0,0.0,0.0,,,0,,
B_DCPG,consigne,0.0,0.0,0.0,0.0,0.0,,,0,,
B_GMPSBT,consigne,0.00030000000000000106,0.0003,0.0003,0.0,1.0842025908662724e-18,0.0,0.0,0,,
B_GMPSFF,consigne,3.204200000000011,3.2042,3.2042,0.0,1.0658145149251805e-14,0.0,0.0,0,,
B_IMAXXG,consigne,-117.88400268999986,-117.88400269,-117.88400269,0.0,1.4210860199002405e-13,0.0,0.0,0,,
B_IMAXXO,consigne,10.0,10.0,10.0,0.0,0.0,,0.0,0,,
B_IMINST,consigne,0.0,0.0,0.0,0.0,0.0,,,0,,
B_IMINXG,consigne,-11.824999810000007,-11.82499981,-11.82499981,0.0,7.105430099501203e-15,0.0,0.0,0,,
B_IMINXO,consigne,0.0,0.0,0.0,0.0,0.0,,,0,,
B_IPHSTC,consigne,20.0,20.0,20.0,0.0,0.0,,0.0,0,,
B_VIMAX,consigne,966.1020521431309,966.08001709,966.11004639,1.566490281772969e-05,0.0071404276671784995,0.0021938325752860104,1.6214542535107757e-06,10,0.005004885000005288,16.666672216805992
B_VIMIN,consigne,103.41473661553715,103.28154755,103.50656128,7.055810963771474e-05,0.017753147882847837,0.003974399926329927,6.822829313004701e-05,846,0.0009994500000090056,0.4441728955868618
B_VINHBT,consigne,0.9626630280007996,0.0,1.0,0.0013859530354764329,0.1889746480711924,0.007334068615141978,0.1439707348431877,2,1.0,100.0
B_VIPHAS,consigne,1.8099999400000055,1.80999994,1.80999994,0.0,5.551117265235315e-15,0.0,0.0,0,,
I:IB,lecture,3294.0240882336598,337.1875,7065.9375,1575.21458130066,10.838767756035331,145.33151892875796,47.82037225918801,1140812,897.5,13.338287200445848
I:MDAT40,lecture,3293.86864434117,369.41528169,7033.38620166,1562.267239281049,6.613877271336937,236.2104972905326,47.42955496920033,1091196,917.81615835,13.772811576946856
I:MXIB,lecture,3293.4524574786706,369.5098877,7033.55078125,1562.3322045554366,6.61856743517273,236.05292532834383,47.43752110365949,1278529,723.9042968700005,10.862842957201147
